ปีการศึกษา,ชื่อโรงเรียน,อำเภอที่ตั้งรร.,ขนาดโรงเรียน,ที่ตั้งโรงเรียน,สังกัด,เขตพื้นที่ฯ,จำนวนผู้เข้าสอบ,ว 1.1 (Mean),ว 1.1 (S.D.),ว 1.2 (Mean),ว 1.2 (S.D.),ว 1.3 (Mean),ว 1.3 (S.D.),ว 2.1 (Mean),ว 2.1 (S.D.),ว 2.2 (Mean),ว 2.2 (S.D.),ว 2.3 (Mean),ว 2.3 (S.D.),ว 3.1 (Mean),ว 3.1 (S.D.),ว 3.2 (Mean),ว 3.2 (S.D.),ว 4.2 (Mean),ว 4.2 (S.D.)
2568,บ้านขุนแม่รวม,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,11,27.27,44.54,25.00,23.84,27.27,44.54,37.50,23.23,57.58,24.99,27.27,24.90,22.73,24.90,39.39,23.86,18.18,24.05
2568,บ้านจันทร์,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,10,40.00,48.99,32.50,19.53,0.00,0.00,38.75,17.18,50.00,30.73,40.00,37.42,35.00,39.05,36.67,17.95,25.00,25.00
2568,บ้านจันทร์ สาขาแจ่มน้อย,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,12,33.33,47.14,22.92,21.55,8.33,27.64,32.29,17.27,19.44,21.34,20.83,32.00,37.50,29.76,16.67,16.67,33.33,23.57
2568,บ้านแจ่มหลวง,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,8,50.00,50.00,21.88,19.52,12.50,33.07,50.00,27.24,45.83,28.57,37.50,33.07,6.25,16.54,54.17,28.57,31.25,34.80
2568,บ้านแม่แดดน้อย,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,8,25.00,43.30,15.63,12.10,0.00,0.00,31.25,26.52,45.83,16.14,37.50,33.07,31.25,42.85,54.17,23.20,0.00,0.00
2568,บ้านแม่แดดน้อย สาขาบ้านดงสามหมื่น,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,14,28.57,45.18,5.36,13.95,0.00,0.00,29.46,18.06,30.95,23.45,14.29,22.59,17.86,30.51,28.57,21.30,25.00,25.00
2568,บ้านแม่ตะละ,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,25,28.00,44.90,36.00,33.97,36.00,48.00,38.00,25.61,38.67,24.37,16.00,27.28,26.00,28.71,38.67,26.13,20.00,24.49
2568,บ้านแม่ตะละเหนือ,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,6,50.00,50.00,25.00,20.41,0.00,0.00,25.00,20.41,22.22,24.85,25.00,25.00,41.67,34.36,44.44,15.71,16.67,23.57
2568,บ้านห้วยยา,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,15,40.00,48.99,16.67,19.72,13.33,33.99,30.00,19.26,40.00,27.76,16.67,23.57,33.33,34.96,24.44,19.12,16.67,29.81
2568,บ้านหัวยปู,กัลยาณิวัฒนา,เล็ก,นอกเมือง,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,สพป.เชียงใหม่ เขต 6,14,21.43,41.03,42.86,29.01,28.57,45.18,45.54,26.56,54.76,27.04,28.57,31.13,53.57,35.17,47.62,30.12,21.43,24.74
